TIME_SCRAPED_PST,PRODUCT_TYPE,PRODUCT_ID,URL,TITLE,PRICE,RATING,NO_OF_REVIEWS,HEIGHT,WIDTH,DEPTH,WEIGHT_KG,PROCESSOR_BRAND,PROCESSOR_FAMILY,PROCESSOR_GENERATION,CPU_CACHE,CPU_CORES,CPU_THREADS,CPU_SPEED,GRAPHICS_BRAND,GRAPHICS_FAMILY,GRAPHICS_RAM,GRAPHICS_RAM_TYPE,RAM_MEMORY,RAM_TYPE,RAM_SPEED,STORAGE_SIZE,STORAGE_TYPE,STORAGE_OTHERS,DISPLAY_SIZE,DISPLAY_RESOLUTION,DISPLAY_REFRESH_RATE,DISPLAY_OTHERS,WIRELESS,POWER,PORTS,SLOTS,CHASSIS,CASE,KEYBOARD,TOUCHPAD,CAMERA,PALMREST,OPTICAL_DRIVE,OPERATING_SYSTEM,HASH_ID,COSMOS_DB,WEIGHT,MICROSOFT_OFFICE,HOME_AND_SMALL_BUSINESS_SECURITY_SOLUTIONS,PROTECT_YOUR_PURCHASE_-_VIEW_SUPPORT_OFFERS_BELOW,ACCIDENTAL_DAMAGE_SERVICE,AUDIO_AND_SPEAKERS,PRIMARY_BATTERY,REGULATORY,BATTERY_LIFE,EXTENDED_SERVICE,SERVICES:EXTENDED_SERVICE,WEIGHT_LBS,DELL_SERVICES:_EXTENDED_SERVICE,WEIGHT_LB,DELL_SERVICES:EXTENDED_SERVICE,CARRYING_CASE,MOUSE,MONITOR,STAND
2024-08-10T00:11:41.000000,desktop,optiplex-7020t-plus-desktop,https://www.dell.com/en-us/shop/desktop-computers/new-optiplex-tower/spd/optiplex-7020t-plus-desktop/gctoo7020mtpus_vp?ref=variantstack,New OptiPlex Tower,$ 1249,4.4 out of 5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240810071141063bbcd6bb60ff7464,Y,,,,,,,,,,,,,,,,,,,
2024-08-10T00:11:37.000000,desktop,precision-t3680-workstation,https://www.dell.com/en-us/shop/desktop-computers/precision-3680-tower-workstation/spd/precision-t3680-workstation/s001dpt3680mtus_vp?ref=variantstack,,"$ 1,025.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240810071137377a88739cac3354b8,Y,,,,,,,,,,,,,,,,,,,
2024-08-10T00:11:32.000000,desktop,precision-3460-workstation,https://www.dell.com/en-us/shop/desktop-computers/precision-3460-small-form-factor-workstation/spd/precision-3460-workstation/s301dpt3460sffusvp?ref=variantstack,,"$ 1,045.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240810071132552991413e63b7547a,Y,,,,,,,,,,,,,,,,,,,
2024-08-10T00:11:21.000000,desktop,inspiron-24-5430-aio,https://www.dell.com/en-us/shop/desktop-computers/inspiron-24-all-in-one/spd/inspiron-24-5430-aio/useiahbts5430gxxb?ref=variantstack,Inspiron 24 All-in-One,$ 579.99,4.6 out of 5.0,134.0,13.92 to 16.31,20.92 to 21.86,7.90 to 40.20,,Intel,Core i3,,10 MB,6.0,8.0,4.7 GHz,Intel,,,,8 GB,DDR4,3200 MT/s,512 GB,SSD,M.2 PCIe NVMe,,,,,"IntelÂ Wi-Fi 6E AX211, 2x2, 802.11ax, BluetoothÂ wireless card","90W AC adapter, 4.5 mm barrel, 130W AC adapter, 4.5 mm barrel","3 USB 3.2 Gen 1 ports with Power on/Wake-up support, 1 USB 3.2 Gen 2 port with PowerShare, 1 USB 3.2 Type-C Gen 2 port (Side), 1 HDMI-out 1.4b, 1 HDMI-in 1.4b, 1 RJ45 Ethernet port, 1 Universal headset jack, 1 power-adapter port","1 M.2 2230/2280 slot for PCIe solid-state drive, 1 M.2 2230 slot for WiFi and Bluetooth combo card, 1 SD-card slot","Rear Cover / Mid Frame - Plastic Resin, Rear Cover / Mid Frame - Plastic Resin with 35% PCR, Isosceles stand exterior - Aluminum or Zinc",White,Dell Pro Wireless Keyboard and Mouse - KM5221W White - US English,,,,,"Windows 11 Home, English, French, Spanish",20240810071121910c324ca08df5244d,Y,5.14 to 5.64,Activate Your Microsoft 365 For A 30 Day Trial,McAfee+ Premium 30-day trial,1Y Basic Onsite Service after remote diagnosis with Hardware-Only Support,,,,"Â , Â ",,,,,,,,,Mouse Included,,
2024-08-10T00:11:17.000000,desktop,inspiron-24-5415-aio,https://www.dell.com/en-us/shop/desktop-computers/inspiron-24-all-in-one/spd/inspiron-24-5415-aio/na5415gydns?ref=variantstack,Inspiron 24 All-in-One,$ 549.99,4.5 out of 5.0,1886.0,14.11 to 16.31,21.37,1.58 to 7.90,5.27 to 5.52,AMD,Ryzen 5,7530U,19 MB,6.0,12.0,,AMD,Radeon Graphics,,,8 GB,DDR4,3200 MT/s,512 GB,SSD,M.2 PCIe NVMe Solid State Drive,,,,,"MediaTek Wi-Fi 6 MT7921, 2x2, 802.11ax, MU-MIMO, BluetoothÂ wireless card","90 W AC adapter, 4.5 mm barrel","1 USB 3.2 Type-C,  Gen 2 port, 2 USB 3.1 Gen 1 ports with Power on/Wake-up support, 1 USB 3.1 Gen 2 port with PowerShare, 1 HDMI 1.4b port, 1 HDMI-in 1.4b port, 1 power-adapter port, 1 RJ45 Ethernet port, 1 Headset jack",1 SD-card slot,"Ascent Solid, Pearl White Fabric, Rear Cover / Mid Frame - Plastic Resin, Y-stand exterior - Plastic Resin, Isosceles stand exterior - Die Cast (Aluminium or Zinc) and painted",Non-Touch Black,Dell Multimedia Keyboard-KB216 Black (English),,,,,"Windows 11 Home, English, French, Spanish",202408100711171715c9c32269a3245e,Y,,No Microsoft Office License Included - 30 day Trial Offer Only,McAfee+ Premium 30-day trial,1Y Basic Onsite Service after remote diagnosis with Hardware-Only Support,,,,"Â , Â ",,,,,,,,,"Wired Mouse, Black MS 116","23.8"", FHD 1920x1080, 60Hz, IPS, Non-Touch, Anti-Glare, InfinityEdge",Arch Stand
2024-08-10T00:11:12.000000,desktop,optiplex-7420-65w-aio,https://www.dell.com/en-us/shop/desktop-computers/new-optiplex-all-in-one/spd/optiplex-7420-65w-aio/s001do7420aio65wus_vp?ref=variantstack,OptiPlex All-in-One,$ 1269,4.7 out of 5.0,46.0,13.95,21.26,2.28,,Intel,Core i5,14th Gen (14500),24 MB,14.0,20.0,5.0 GHz,Intel,Graphics,,,16 GB,DDR5,,256 GB,SSD,"M.2 2230, PCIe NVMe, Class 35",,,,,"IntelÂ Wi-Fi 6E AX211, 2x2, 802.11ax, BluetoothÂ wireless card",160W Bronze Internal Power Supply Unit (PSU),"1 USB 3.2 Gen 2 Type-C port, 1 HDMI-in 1.4b Port (up to 1920 x 1080 @ 60Hz), 1 HDMI-out 2.1 Port (up to 4096 x 2160 @ 60Hz), 1 DisplayPort++ 1.4a (up to 5120 x 3200 @ 60Hz), 1 RJ45 10/100/1000 Mbps Ethernet PortÂ , 2 USB 3.2 Gen 1 Type-A Ports with SmartPower OnÂ , 3 USB 3.2 Gen 2 Type-A ports, 1 audio line-out port, re-taskable, 1 USB 3.2 Gen 2 Type-A Port with PowerShare port, 1 Universal audio port","1 M.2 2230 slot for WiFi and Bluetooth combo card, 2 M.2 2230/2280 slots for solid-state drive, 1 SD 4.0 Card Slot, 1 Kensington Security Cable Slot",,,Dell Pro Wireless Keyboard and Mouse - KM5221W Black - US English,,,,,"Windows 11 Pro, English, Brazilian Portuguese, French, Spanish",2024081007111279400550181f0b8408,Y,5.61 to 6.32,Activate Your Microsoft 365 For A 30 Day Trial,No anti-virus software,"Basic Onsite Service after remote diagnosis with Hardware-Only Support, 36 Month(s)",,,,"Â , Â ",,,,,"Basic Onsite Service after remote diagnosis with Hardware-Only Support, 36 Month(s)",,,,,,
2024-08-10T00:11:08.000000,desktop,inspiron-3030-desktop,https://www.dell.com/en-us/shop/desktop-computers/inspiron-desktop/spd/inspiron-3030-desktop/useithbts3030gsrp?ref=variantstack,Inspiron Desktop,$ 749.99,4.5 out of 5.0,257.0,12.77,6.06,11.53,,Intel,Core i7,,33 MB,20.0,28.0,5.4 GHz,Intel,UHD Graphics 770,,Shared,16 GB,DDR5,5600 MT/s,512 GB,SSD,M.2 PCIe NVMe,,,,,"Realtek Wi-Fi 6 RTL8852BE, 2x2, 802.11ax, MU-MIMO, BluetoothÂ wireless card","180 W Bronze internal power supply unit, 300 W Bronze internal power supply unit , 460 W Bronze internal power supply unit","1 USB 3.2 Gen 1 port, 2 USB 2.0 ports, 1 USB 3.2 Gen 1 Type-C,  portÂ , 1 Global headset jack, 1 SD-card slot (optional), 2 USB 2.0 ports with Smart Power on, 2 USB 3.2 Gen 1 ports, 1 audio line-out portÂ , 1 HDMI 1.4b port, 1 DisplayPortâ¢ 1.4a, 1 RJ-45 Ethernet port","1 full-height Gen3 PCIe x16 slot, 1 full-height Gen3 PCIe x1 slot, 1 M.2 2230 slot for WiFi and Bluetooth combo card, 1 M.2 2230/2280 slot for solid-state drive, 2 SATA 3.0 slots for 3.5-inch hard drive/2.5-inch hard drive, 1 SATA 2.0 slot for optical drive, 1 wedge-shaped lock slot, 1 padlock ring","Black with Mist Blue Mesh, Black with Standard Black Mesh",,Dell Multimedia Keyboard-KB216 Black (English),,,,No Optical Drive,"Windows 11 Home, English, French, Spanish",202408100711086267c022af6248c4bf,Y,5.32 to 7.05,Activate Your Microsoft 365 For A 30 Day Trial,McAfee+ Premium 30-day trial,1Y Basic Onsite Service after remote diagnosis with Hardware-Only Support,,,,,,,,,,,,,Dell Optical Mouse - MS116 (Black),,
2024-08-10T00:11:02.000000,desktop,inspiron-3030-small-desktop,https://www.dell.com/en-us/shop/desktop-computers/inspiron-small-desktop/spd/inspiron-3030-small-desktop/useishbts3030gssc?ref=variantstack,Inspiron Small Desktop,$ 469.99,4.6 out of 5.0,248.0,11.42,3.65,11.53,4.02 to 4.72,Intel,Core i3,14100,12 MB,4.0,8.0,4.7 GHz,Intel,UHD Graphics 730,,,8 GB,DDR5,4400 MT/s,512 GB,SSD,"M.2, PCIe NVMe",,,,,"Realtek Wi-Fi 6 RTL8852BE, 2x2, 802.11ax, MU-MIMO, BluetoothÂ wireless card",180W Bronze internal power supply unit,"2 USB 2.0 Type-A ports , 1 USB 3.2 Type-A Gen 1 port , 1 USB 3.2 Type-C Gen 1 port, 1 Universal headset jack, 2 USB 2.0Â Type-A ports with Power on/Wake support, 2 USB 3.2 Type-A Gen 1 port, 1 Audio line-out port , 1 DisplayPort 1.4 port , 1 RJ-45 Ethernet port , 1 HDMI 1.4b port, Note: The maximum resolution supported by HDMI 1.4b port is 1920 x 1200.","1 SATA 2.0 slot, 1 SATA 3.0 slot, 1 PCIe x16 slot, 1 PCIe x1 slot, 1 M.2 2230 slot for WiFi and Bluetooth combo card, 1 M.2 2230/2280 slot for PCIe solid-state drive, 1 SD-card slot (optional)","Hot Dip Galvanized Steel, Black with Mist Blue mesh",,Dell Multimedia Keyboard-KB216 Black (English),,,,No Optical Drive,"Windows 11 Home, English, French, Spanish",202408100711023056334b9a91eb64d4,Y,4.02 to 4.72,Activate Your Microsoft 365 For A 30 Day Trial,McAfee+ Premium 30-day trial,1Y Basic Onsite Service after remote diagnosis with Hardware-Only Support,,,,,,,,,,,,,Dell Optical Mouse - MS116 (Black),,
2024-08-10T00:10:56.000000,desktop,inspiron-27-7730-aio,https://www.dell.com/en-us/shop/desktop-computers/inspiron-27-all-in-one/spd/inspiron-27-7730-aio/useiahbts7730gxny?ref=variantstack,Inspiron 27 All-in-One,$ 799.99,4.6 out of 5.0,248.0,15.54 to 17.93,23.76 to 24.20,1.64 to 7.90,6.64 to 7.41,Intel,Core i5,,12 MB,10.0,12.0,5.0 GHz,Intel,Graphics,,,16 GB,DDR4,3200 MT/s,512 GB,SSD,M.2 PCIe NVMe,,,,,"IntelÂ Wi-Fi 6E AX211, 2x2, 802.11ax, BluetoothÂ wireless card","90W AC adapter, 4.5 mm barrel, 130W AC adapter, 4.5 mm barrel","1 USB 3.2 Type-C Gen 2 port, *,  , 3 USB 3.2 Gen 1 ports with Power on/Wake-up support, 1 HDMI-out 1.4b, 1 HDMI-in 1.4bÂ , 1 power-adapter port, 1 RJ45 Ethernet port, 1 USB 3.2 Gen 2 port with PowerShare, 1 Universal headset jack","1 M.2 2230/2280 slot for PCIe solid-state drive, 1 M.2 2230 slot for WiFi and Bluetooth combo card, 1 SD-card slot","Rear Cover / Mid Frame - Plastic Resin, Rear Cover / Mid Frame - Plastic Resin with 35% PCR, Y-stand exterior - Plastic Resin, Isosceles stand exterior - Aluminum or Zinc",White,Dell Pro Wireless Keyboard and Mouse - KM5221W White - US English,,,,,"Windows 11 Home, English, French, Spanish",20240810071056521ee1fcb9c9dfb4f3,Y,6.64 to 7.41,Activate Your Microsoft 365 For A 30 Day Trial,McAfee+ Premium 30-day trial,1Y Basic Onsite Service after remote diagnosis with Hardware-Only Support,,,,,,,,,,,,,Mouse Included,,
2024-08-10T00:10:51.000000,desktop,optiplex-7020-plus-small-ff,https://www.dell.com/en-us/shop/desktop-computers/new-optiplex-small-form-factor/spd/optiplex-7020-plus-small-ff/s004do7020sffpus_vp?ref=variantstack,OptiPlex Small Form Factor,$ 1079,4.5 out of 5.0,161.0,11.42,3.65,11.53,,Intel,Core i5,,24 MB,14.0,20.0,5.0 GHz,Intel,,,,16 GB,DDR5,,256 GB,SSD,M.2 PCIe NVMe Class 35,,,,,"IntelÂ Wi-Fi 6E AX211, 2x2, 802.11ax, BluetoothÂ wireless card, external antenna","260W 80 PLUS Bronze internal power supply unit, 300W 80 PLUS Platinum internal power supply unit","1 USB 2.0 (480 Mbps) Port, 1 USB 2.0 (480 Mbps) Port with PowerShare, 1 USB 3.2 Gen 2 (10 Gbps) Type-A Port, 1 USB 3.2 Gen 2x2 (20 Gbps) Type-C Port, 1 Universal Audio Jack, 2 USB 2.0 (480 Mbps) ports with SmartPower On, 3 USB 3.2 Gen 1 (5 Gbps) Type-A Ports, 1 USB 3.2 Gen 2 (10 Gbps) Type-A Port, 3 DisplayPortâ¢ 1.4a Ports, 1 Retaskable line-in/line-out audio port, 1 RJ-45 Ethernet Port 10/100/1000 Mbps, 1 Serial Port (optional), 1 Video Port (HDMI 2.1/DisplayPortâ¢ 1.4a/VGA/USB Type-C with DisplayPortâ¢ Alt mode) (optional)","1 Half-height Gen4 PCIe x16 slot, 1 Half-height Gen3 PCIe x4 open-end slot, 1 SATA 2.0 slot for slim optical drive, 2 SATA 3.0 slots for hard drive, 1 M.2 2230 slot for Wi-Fi and Bluetooth combo card, 2 M.2 2230 slots for solid-state drive, 1 M.2 2280 slot for solid-state drive, 1 SD-card 4.0 slot (optional)",,,Dell Pro Wireless Keyboard and Mouse - KM5221W Black - US English,,,,8x DVD+/-RW 9.5mm ODD,"Windows 11 Pro, English, Brazilian Portuguese, French, Spanish",20240810071051593308921ad6da9439,Y,4.28 to 5.62 kg,Activate Your Microsoft 365 For A 30 Day Trial,No anti-virus software,"No Warranty Upgrade, 36 Month(s)",,,,,,,,,"No Warranty Upgrade, 36 Month(s)",,,,,,
2024-08-10T00:10:47.000000,desktop,xps-8960-desktop,https://www.dell.com/en-us/shop/desktop-computers/xps-desktop/spd/xps-8960-desktop/usexpsthcto8960rpl17?ref=variantstack,,$ 699.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024081007104758364e3e084bd29423,Y,,,,,,,,,,,,,,,,,,,
